ID,Name,BirthDate,Sex,DateTime,TimeBase,LPF,HPF,MainsFilter
00001b,sinewave,1,Laki-Laki,03/09/2022 11:01:21,50 mm/s,150 Hz,Off,Off


I,II,V1,V2,V3,V4,V5,V6
0.0810623,-0.8217494,0.1791239,0.3031015,0.2951543,0.3031015,0.2697229,0.2776702
0.0413259,-0.8471807,0.1690610,0.2850914,0.2723757,0.3057543,0.2676074,0.2803230
0.0254313,-0.8265177,0.1944733,0.2389781,0.2246730,0.2739461,0.2723567,0.2628199
0.0381470,-0.7581711,0.1833057,0.2214527,0.2039687,0.2437051,0.2532419,0.2262211
0.0588099,-0.6945928,0.1202218,0.1996946,0.2171787,0.2346627,0.2235365,0.1965157
0.0460943,-0.6548564,0.0650899,0.1397943,0.1842992,0.1922464,0.1763519,0.1747624
0.0031789,-0.6055832,0.0438499,0.1090177,0.1201439,0.1026599,0.1169650,0.1408068
-0.0079473,-0.5213420,0.0353130,0.1068385,0.0909440,0.0353130,0.0877651,0.0782283
0.0095367,-0.4148483,-0.0013097,0.0702159,0.0718053,0.0257111,0.0606791,0.0209427
0.0079473,-0.2956390,-0.0501331,0.0245714,0.0261609,0.0341082,0.0118558,-0.0056283
0.0127157,-0.1716614,-0.0772349,-0.0025304,-0.0247828,-0.0009410,-0.0327301,-0.0422668
0.0206629,-0.0747045,-0.0916020,-0.0296132,-0.0598129,-0.0693496,-0.0661707,-0.1090860
-0.0047684,0.0095367,-0.1176278,-0.0492811,-0.0810703,-0.0937859,-0.1001438,-0.1398802
-0.0174840,0.1207987,-0.1410182,-0.0837978,-0.1203553,-0.1060502,-0.1473761,-0.1298920
0.0222524,0.2352397,-0.1511478,-0.1463795,-0.1829370,-0.1654530,-0.2115472,-0.1749897
0.0381470,0.3210704,-0.1596769,-0.1898766,-0.2232552,-0.2041817,-0.2518654,-0.2439181
0.0206629,0.4005432,-0.1660935,-0.2217245,-0.2455664,-0.2233140,-0.2678188,-0.2535137
0.0095367,0.4863739,-0.1433722,-0.2546342,-0.2689393,-0.2562237,-0.2737077,-0.2514553
-0.0190735,0.5690257,-0.1058197,-0.2409236,-0.2695338,-0.2663549,-0.2552287,-0.2631760
-0.0476837,0.6357829,-0.0899792,-0.2282619,-0.2600511,-0.2727667,-0.2473354,-0.2616405
-0.0413259,0.6771088,-0.0836468,-0.2712027,-0.2616660,-0.2982235,-0.2616660,-0.2743816
-0.0492732,0.6961823,-0.0667079,-0.2908214,-0.2685690,-0.3051265,-0.2653901,-0.3019476
-0.0826518,0.7088979,-0.0503031,-0.2728271,-0.2791850,-0.2998479,-0.2585220,-0.3030268
-0.0890096,0.7327398,-0.0402546,-0.2754943,-0.2802626,-0.3056939,-0.2564208,-0.2818521
-0.0794729,0.7454554,-0.0397301,-0.2781487,-0.2606646,-0.3035800,-0.2511279,-0.2702014
-0.0858307,0.7295609,-0.0370725,-0.2595965,-0.2373441,-0.2802595,-0.2468808,-0.2739016
-0.0905991,0.7279714,-0.0238276,-0.2415832,-0.2145624,-0.2479410,-0.2336359,-0.2701934
-0.0937780,0.7422765,-0.0116523,-0.2262290,-0.1976188,-0.2214607,-0.2023872,-0.2405341
-0.0794729,0.7311503,-0.0254154,-0.2129714,-0.2002557,-0.2082030,-0.1875401,-0.2097925
-0.0413259,0.6930033,-0.0508086,-0.2065754,-0.2065754,-0.2018070,-0.2002176,-0.1906808
-0.0190735,0.6500880,-0.0629584,-0.1917044,-0.1932939,-0.1805782,-0.1948833,-0.1615047
-0.0206629,0.5944570,-0.0740480,-0.1566998,-0.1566998,-0.1392158,-0.1566998,-0.1328580
-0.0143051,0.5149841,-0.0877682,-0.1163785,-0.1227363,-0.0973050,-0.1084312,-0.1195574
-0.0079473,0.4243851,-0.0930039,-0.0834672,-0.0898250,-0.0739304,-0.0707515,-0.0707515
-0.0079473,0.3258387,-0.1061837,-0.0569105,-0.0410159,-0.0537316,-0.0473738,0.0034889
-0.0174840,0.2113978,-0.1251841,-0.0298166,0.0067409,-0.0250483,-0.0171010,0.0274038
-0.0254313,0.1049042,-0.1219368,0.0068092,0.0354195,0.0147565,0.0258827,0.0274722
-0.0079473,0.0206629,-0.0741911,0.0593233,0.0704495,0.0672706,0.0736284,0.0752179
0.0190735,-0.0588099,0.0021648,0.1229636,0.1229636,0.1166058,0.1197847,0.1436265
0.0270208,-0.1684825,0.0504541,0.1776107,0.1585372,0.1362848,0.1394637,0.1633056
0.0270208,-0.2861023,0.0547711,0.2105379,0.1771593,0.1692120,0.1517280,0.1819277
0.0381470,-0.3592173,0.0818443,0.2248955,0.1994642,0.2376111,0.2010536,0.2582741
0.0667572,-0.4275640,0.1301130,0.2429644,0.2223015,0.2699852,0.2461433,0.3081322
0.0667572,-0.5499522,0.1455593,0.2568213,0.2441057,0.2615897,0.2552319,0.2901999
0.0206629,-0.6612142,0.1535654,0.2616485,0.2775431,0.2918482,0.2854904,0.2982060
0.0206629,-0.7136663,0.1679055,0.2696308,0.2902937,0.3284407,0.3252618,0.3284407
0.0476837,-0.7597605,0.1615874,0.2807967,0.2807967,0.3078175,0.3205331,0.3316593
0.0254313,-0.7979075,0.1674334,0.2802849,0.3041267,0.3009478,0.3232002,0.3390948
0.0063578,-0.8106232,0.2018738,0.2638626,0.3337987,0.3306198,0.3544617,0.3401566
0.0222524,-0.8503596,0.1860110,0.2654839,0.3099887,0.3036308,0.3370094,0.2940941
0.0333786,-0.8885066,0.1362371,0.2681621,0.2729305,0.2538570,0.2792883,0.2506781
0.0397364,-0.8360545,0.1420323,0.2485259,0.2866729,0.2675994,0.2532943,0.2628311
0.0556310,-0.7470449,0.1753569,0.2516508,0.2945662,0.3009240,0.2500614,0.2802610
0.0540415,-0.7216136,0.1642132,0.2675279,0.2611701,0.2913698,0.2468650,0.2516333
0.0286102,-0.7247925,0.1308282,0.2261957,0.2087116,0.2325535,0.2246062,0.2007643
0.0190735,-0.6771088,0.1053619,0.1482773,0.1435089,0.1514562,0.1594035,0.1482773
0.0476837,-0.5769730,0.0719261,0.1053047,0.1068942,0.1100731,0.1021258,0.0989469
0.0492732,-0.4911423,0.0284243,0.0888236,0.0999498,0.1047182,0.0872342,0.0729291
0.0143051,-0.4227956,-0.0129588,0.0490300,0.0522089,0.0569773,0.0506194,0.0506194
0.0000000,-0.3083547,-0.0464185,0.0076230,-0.0082715,-0.0098610,-0.0050926,0.0108020
-0.0111262,-0.1811981,-0.0820049,-0.0088898,-0.0152477,-0.0422684,-0.0343211,-0.0375001
-0.0429153,-0.1049042,-0.1239220,-0.0412703,-0.0380913,-0.0714699,-0.0651121,-0.0778278
-0.0397364,-0.0095367,-0.1488860,-0.0710026,-0.0948445,-0.1027918,-0.1123285,-0.1107391
-0.0015895,0.1398722,-0.1463238,-0.0827456,-0.1224820,-0.1336082,-0.1574500,-0.1447344
0.0174840,0.2749761,-0.1453479,-0.1072009,-0.1374006,-0.1771371,-0.1930316,-0.1850843
-0.0063578,0.3687541,-0.1369413,-0.1321729,-0.1607831,-0.1830355,-0.1862144,-0.1989301
-0.0127157,0.4418691,-0.1242765,-0.1592445,-0.2005704,-0.1878548,-0.2037493,-0.2069283
0.0111262,0.5133947,-0.1211373,-0.2180942,-0.2578306,-0.2514728,-0.2784936,-0.2467044
-0.0047684,0.5865097,-0.1068862,-0.2626530,-0.2801371,-0.2817265,-0.2928527,-0.2674214
-0.0397364,0.6437302,-0.0841538,-0.2589941,-0.2574046,-0.2669414,-0.2494574,-0.2589941
-0.0349681,0.6850561,-0.0693448,-0.2473640,-0.2505430,-0.2791532,-0.2489535,-0.2727954
-0.0333786,0.7216136,-0.0518847,-0.2473879,-0.2616930,-0.2839454,-0.2601035,-0.2855349
-0.0651677,0.7390976,-0.0344229,-0.2569469,-0.2553574,-0.2680731,-0.2378734,-0.2633047
-0.0778834,0.7406871,-0.0307194,-0.2675486,-0.2405278,-0.2707275,-0.2278121,-0.2405278
-0.0651677,0.7454554,-0.0333675,-0.2733755,-0.2399969,-0.2908595,-0.2415864,-0.2606599
-0.0603994,0.7534027,-0.0344308,-0.2696705,-0.2426497,-0.2966913,-0.2410603,-0.2839756
-0.0651677,0.7470449,-0.0386667,-0.2516540,-0.2278121,-0.2786748,-0.2135070,-0.2564224
-0.0651677,0.7279714,-0.0418329,-0.2293889,-0.2071365,-0.2500518,-0.2007786,-0.2198521
-0.0683467,0.7009506,-0.0508229,-0.2208948,-0.2002319,-0.2288421,-0.2177159,-0.2208948
-0.0667572,0.6723404,-0.0592804,-0.1959737,-0.1943843,-0.2039210,-0.2150472,-0.2182261
-0.0381470,0.6437302,-0.0544834,-0.1562087,-0.1721032,-0.1577981,-0.1848189,-0.1784611
-0.0111262,0.5976359,-0.0544437,-0.1307376,-0.1418638,-0.1084852,-0.1561689,-0.1370955
-0.0111262,0.5086263,-0.0882928,-0.1216714,-0.1184924,-0.0867033,-0.1359765,-0.1137241
-0.0111262,0.3957748,-0.1221259,-0.1046419,-0.1062314,-0.0855684,-0.1125892,-0.0887473
-0.0174840,0.3019969,-0.1125288,-0.0680240,-0.0839186,-0.0727924,-0.0712029,-0.0537189
-0.0286102,0.2288818,-0.0844034,-0.0081094,-0.0224145,-0.0319513,-0.0112883,0.0030168
-0.0047684,0.1366933,-0.0790358,0.0497103,0.0385841,0.0306368,0.0497103,0.0481208
0.0206629,0.0317891,-0.0620031,0.0842269,0.0667429,0.0937637,0.1017110,0.0651534
0.0127157,-0.0667572,-0.0137266,0.1181984,0.1070722,0.1483981,0.1388613,0.1134300
0.0158946,-0.1700719,0.0356166,0.1548258,0.1611837,0.1977412,0.1627731,0.1850255
0.0413259,-0.2749761,0.0621859,0.1845741,0.1909320,0.2306684,0.1845741,0.2131844
0.0397364,-0.3798803,0.0818586,0.2169625,0.1978890,0.2392149,0.2042468,0.2217309
0.0349681,-0.4752477,0.1025836,0.2408663,0.2106667,0.2615293,0.2345085,0.2551715
0.0572205,-0.5483627,0.1338991,0.2435716,0.2403927,0.2912553,0.2610556,0.2880764
0.0540415,-0.6326040,0.1583258,0.2441565,0.2838929,0.2997875,0.2759457,0.3013770
0.0270208,-0.7216136,0.1620849,0.2479156,0.3035466,0.3019571,0.2955993,0.3003677
0.0333786,-0.7597605,0.1711194,0.2458239,0.2807919,0.2998654,0.3078127,0.3094021
0.0524521,-0.7740657,0.1838509,0.2537870,0.2728605,0.2887551,0.3173653,0.3459756
0.0556310,-0.8122126,0.1796389,0.2734168,0.3067954,0.2893114,0.3401740,0.3449424
0.0445048,-0.8455912,0.1833661,0.2914492,0.3184700,0.2962176,0.3454908,0.2930387
0.0111262,-0.8487701,0.1875957,0.2845526,0.2861420,0.2750158,0.3068050,0.2670685
-0.0158946,-0.8344650,0.1711528,0.2649307,0.2696991,0.2553940,0.2696991,0.2855937
0.0015895,-0.8026759,0.1658392,0.2723328,0.2866379,0.2771012,0.2739223,0.2866379
0.0365575,-0.7629395,0.1727120,0.2680794,0.2664900,0.2871529,0.2585427,0.2331114
0.0397364,-0.7247925,0.1398389,0.2050066,0.1954699,0.2240801,0.1922909,0.1732175
0.0381470,-0.6612142,0.0809860,0.1382065,0.1302592,0.1429749,0.1382065,0.1382065
0.0460943,-0.5706151,0.0417217,0.1052999,0.0846370,0.1100683,0.1132472,0.1100683
0.0445048,-0.4784266,0.0194073,0.0655015,0.0591437,0.0925223,0.0845750,0.0941118
0.0333786,-0.3767014,-0.0108639,0.0320514,0.0479460,0.0463565,0.0558933,0.0765562
0.0111262,-0.2702077,-0.0469700,0.0245555,0.0150188,0.0134293,0.0213766,0.0356817
-0.0127157,-0.1780192,-0.0682322,0.0144196,-0.0189590,0.0017039,-0.0316747,-0.0126012
-0.0015895,-0.0890096,-0.0873613,-0.0269620,-0.0412671,-0.0571616,-0.1016665,-0.0778246
0.0047684,0.0063578,-0.1340469,-0.0863632,-0.0958999,-0.1435836,-0.1642466,-0.1451731
-0.0206629,0.1239777,-0.1569160,-0.1251268,-0.1489687,-0.1648633,-0.1696316,-0.1505582
-0.0127157,0.2543132,-0.1331584,-0.1283900,-0.1665370,-0.1570002,-0.1728948,-0.1458740
0.0206629,0.3576279,-0.1279179,-0.1358652,-0.1914962,-0.2026224,-0.2344116,-0.2058013
0.0238419,0.4450480,-0.1406908,-0.1788378,-0.2328793,-0.2424161,-0.2789736,-0.2519528
0.0095367,0.5261103,-0.1328023,-0.2265803,-0.2615484,-0.2313487,-0.2583694,-0.2345276
-0.0127157,0.5785624,-0.1079432,-0.2446365,-0.2732468,-0.2255630,-0.2478155,-0.2287420
-0.0381470,0.6230672,-0.0857290,-0.2510325,-0.2701060,-0.2780533,-0.2732849,-0.2653376
-0.0476837,0.6675720,-0.0767549,-0.2627214,-0.2690792,-0.3294786,-0.2817949,-0.2992789
-0.0524521,0.6930033,-0.0725349,-0.2775749,-0.2807538,-0.3189007,-0.2680381,-0.3030062
-0.0603994,0.7168452,-0.0540098,-0.2797127,-0.2828916,-0.2860705,-0.2542814,-0.2924283
-0.0635783,0.7343292,-0.0381279,-0.2733676,-0.2622414,-0.2781359,-0.2479362,-0.2876727
-0.0619888,0.7359187,-0.0407775,-0.2712488,-0.2331018,-0.2776066,-0.2394597,-0.2823750
-0.0667572,0.7390976,-0.0466092,-0.2627754,-0.2230390,-0.2707227,-0.2325757,-0.2707227
-0.0683467,0.7534027,-0.0286055,-0.2368244,-0.2320560,-0.2431822,-0.2145720,-0.2511295
-0.0619888,0.7470449,-0.0158834,-0.2177445,-0.2320496,-0.2113867,-0.1954921,-0.2256918
-0.0524521,0.7088979,-0.0381072,-0.2081792,-0.2129475,-0.2018213,-0.1986424,-0.2065897
-0.0397364,0.6580353,-0.0730371,-0.1890675,-0.2001937,-0.2017832,-0.2097305,-0.2001937
-0.0174840,0.6230672,-0.0846624,-0.1736720,-0.2038717,-0.1816193,-0.1991034,-0.1832088
0.0047684,0.5944570,-0.0793378,-0.1604001,-0.1778841,-0.1413266,-0.1604001,-0.1365582
0.0222524,0.5308787,-0.0861772,-0.1243242,-0.1290925,-0.1004823,-0.1211452,-0.0845877
0.0127157,0.4259745,-0.1099523,-0.0702159,-0.0924683,-0.0654475,-0.0956472,-0.0543213
-0.0174840,0.3131231,-0.1146555,-0.0335932,-0.0383615,-0.0335932,-0.0542561,-0.0335932
-0.0190735,0.2145767,-0.0859801,-0.0208124,0.0157452,0.0046190,0.0093873,0.0157452
-0.0095367,0.1207987,-0.0705496,-0.0117397,0.0311756,0.0311756,0.0438913,0.0677331
-0.0079473,0.0333786,-0.0768487,0.0073926,0.0423606,0.0264661,0.0312344,0.0518974
0.0143051,-0.0015895,-0.0503270,0.0561666,0.0831874,0.0545772,0.0227880,0.0259670
0.0413259,-0.0174840,-0.0079219,0.1255925,0.1240031,0.1319504,0.0636037,0.0922139
0.0301997,-0.1239777,0.0027418,0.1489719,0.1298984,0.1696348,0.1298984,0.1791716
0.0206629,-0.2749761,0.0134357,0.1469501,0.1374133,0.1707919,0.1564868,0.1866865
0.0619888,-0.3528595,0.0558869,0.1941697,0.1782751,0.2196010,0.1703278,0.1894013
0.0890096,-0.4116694,0.0935523,0.2318350,0.2254772,0.2906450,0.2366034,0.2461402
0.0413259,-0.5356471,0.1269976,0.2144178,0.2462069,0.2986590,0.3050168,0.2891223
-0.0095367,-0.6755193,0.1588631,0.2129046,0.2431043,0.2558200,0.2955564,0.2876091
0.0174840,-0.7327398,0.1673873,0.2532180,0.2532180,0.2500391,0.2770599,0.2881861
0.0603994,-0.7279714,0.1769352,0.2866077,0.2897867,0.2897867,0.3088601,0.3072707
0.0476837,-0.7549922,0.1901944,0.2919197,0.2998670,0.2950986,0.3205299,0.3109932
0.0079473,-0.8042653,0.1880948,0.2945884,0.2945884,0.2834622,0.3120724,0.2977673
0.0174840,-0.7899602,0.2008041,0.3057082,0.3247817,0.3216028,0.3422658,0.2945820
